2024-04-03 15:23:13.524 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 11.0.13+8
2024-04-03 15:23:14.489 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-04-03 15:23:14.542 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-04-03 15:23:14.553 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2024-04-03 15:23:14.553 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-04-03 15:23:14.553 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: C:\Users\Su Myat\Information-Retrieval\backend-index\solr-9.5.0
2024-04-03 15:23:14.553 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-04-03T15:23:14.553070600Z
2024-04-03 15:23:14.555 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: C:\Users\Su Myat\Information-Retrieval\backend-index\solr-9.5.0\server\logs\jvm_crash_37596.log
2024-04-03 15:23:14.638 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: C:\Users\Su Myat\Information-Retrieval\backend-index\solr-9.5.0\server\solr (source: system property: solr.solr.home)
2024-04-03 15:23:14.680 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from C:\Users\Su Myat\Information-Retrieval\backend-index\solr-9.5.0\server\solr\solr.xml
2024-04-03 15:23:14.746 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/C:/Users/Su%20Myat/Information-Retrieval/backend-index/solr-9.5.0/lib]
